hand_id,top_player,bottom_player,top_cards,bottom_cards,board,winner,actions
hcl_ivey_dwan_garrett_dense_152,unknown,LUCKY,As Jc,3s 6d,Jh 5c 6c Js,,unknown call | LUCKY call | unknown bet | LUCKY call | unknown bet | LUCKY call | LUCKY check | LUCKY call
hcl_ivey_dwan_garrett_dense_154,unknown,unknown,As Td,3s 3c,Jh 7h Ah Jd,,unknown bet | unknown call | unknown check | unknown check | unknown call | unknown bet | unknown raise | unknown call
hcl_ivey_dwan_garrett_dense_155,unknown,unknown,Kh Td,3s 3c,Jh 5c Ah Js,,unknown raise | unknown call | unknown call | unknown raise | unknown call | unknown fold
hcl_ivey_dwan_garrett_dense_156,unknown,MATT,Kh 3h,4s 2h,7h 6c Js 5s,,MATT raise | unknown call | MATT call | unknown call | GARRETT call
hcl_ivey_dwan_garrett_dense_157,unknown,unknown,Kh 3h,8d 3c,Jh 5c Ah Jd 5s,split,unknown fold | unknown bet | unknown check | GARRETT call
hcl_ivey_dwan_garrett_dense_158,MATT,DYLAN,Kh 3h,3s 3c,Jh 5c 6c Js,,MATT call | DYLAN bet | MATT call | DYLAN bet | MATT check | MATT call | DYLAN bet | MATT call | DYLAN bet | MATT call | DYLAN bet
hcl_ivey_dwan_garrett_dense_159,LUCKY,unknown,Kh Qc,3s 6d,Jh 5c 6c Js,,LUCKY call | unknown bet | LUCKY call | LUCKY bet | unknown call | LUCKY bet | unknown call | LUCKY bet | unknown call | LUCKY bet
hcl_ivey_dwan_garrett_dense_160,LUCKY,unknown,Kh Qc,3s 6d,Jh 5c 2c Js,,LUCKY raise | unknown bet | LUCKY bet | unknown call | LUCKY bet | unknown call | LUCKY bet | unknown call | LUCKY bet
hcl_ivey_dwan_garrett_dense_161,LUCKY,GARRETT,5h Qc,3s 6d,Jh 5c 2c Js,,LUCKY bet | GARRETT call | LUCKY bet | GARRETT call | GARRETT call | LUCKY call | GARRETT bet | GARRETT bet | GARRETT bet | GARRETT bet | LUCKY bet
hcl_ivey_dwan_garrett_dense_162,unknown,GARRETT,As 7s,3s 6d,Jh 5c Ah Js,,GARRETT call | unknown call | GARRETT bet | unknown call | GARRETT bet | unknown fold | unknown raise | unknown check | GARRETT bet | GARRETT bet | LUCKY bet
hcl_ivey_dwan_garrett_dense_163,unknown,unknown,Kh Td,3s 6d,Jh 5c Ah Js,,LUCKY bet
hcl_ivey_dwan_garrett_dense_164,unknown,unknown,Kh 3h,3s 3c,Jh 5c 2c Js,,LUCKY bet
hcl_ivey_dwan_garrett_dense_166,unknown,unknown,As 3h,4s 2h,Jh 5c Ah Js,,LUCKY fold | LUCKY call
hcl_ivey_dwan_garrett_dense_167,unknown,unknown,Kc 9c,4s 2h,Jh 5c 6c Js,,LUCKY call
hcl_ivey_dwan_garrett_dense_168,unknown,unknown,Kh 2d,4s 6d,Jh 5c Ah 2c,,LUCKY bets
hcl_ivey_dwan_garrett_dense_169,unknown,unknown,As 9c,8h 3c,Jh 5c 6c Js,,LUCKY bets | LUCKY bet
hcl_ivey_dwan_garrett_dense_170,unknown,unknown,As Td,8c 3c,5c 6c Js,,
hcl_ivey_dwan_garrett_dense_171,unknown,unknown,Kh Td,3s 2h,5c Ah Js,,
hcl_ivey_dwan_garrett_dense_172,unknown,unknown,Kc Qd,3s 3c,Jh 5c 6c Js,,
hcl_ivey_dwan_garrett_dense_173,unknown,unknown,Kh 7s,3s 6d,Jh 5c 2c Js,,
hcl_ivey_dwan_garrett_dense_176,unknown,unknown,As 7s,3s 2h,Jh 5c 6c Js,,GARRETT fold
hcl_ivey_dwan_garrett_dense_177,unknown,unknown,As 7s,4s 2h,Jh 5c 6c Js,,
hcl_ivey_dwan_garrett_dense_178,unknown,unknown,As Td,8h 6d,Jh 5c Ah Js,,GARRETT call | LUCKY calls
hcl_ivey_dwan_garrett_dense_179,unknown,unknown,As Td,8h 6d,5c Ah Js,,LUCKY calls
hcl_ivey_dwan_garrett_dense_180,unknown,unknown,As 7s,3s 3c,Jh 5c 6c Js,,GARRETT bets
hcl_ivey_dwan_garrett_dense_182,unknown,unknown,Kh Td,3s 3c,Jh 5c 6c Js,,GARRETT call
hcl_ivey_dwan_garrett_dense_188,unknown,unknown,As Td,3s 4c,Jh 5c 6c Js,,GARRETT raise
hcl_ivey_dwan_garrett_dense_190,unknown,unknown,Kh Td,8h 3c,Jh 7h 6c Js,,LUCKY bet | LUCKY raise | GARRETT checks | GARRETT call
hcl_ivey_dwan_garrett_dense_192,unknown,unknown,As 9c,8h 3c,Jh 7h 6c Js 5s,unknown,GARRETT raise | GARRETT call
hcl_ivey_dwan_garrett_dense_193,unknown,unknown,As 9c,4s 2h,Jh 7h 6c Js 5s,unknown,GARRETT raise | GARRETT call
hcl_ivey_dwan_garrett_dense_195,unknown,unknown,Kh Td,4s 2h,Jh 5c 6c 3d,,LUCKY call
hcl_ivey_dwan_garrett_dense_196,unknown,unknown,5h 5d,4s 3c,Jh 5c 3d,,
hcl_ivey_dwan_garrett_dense_197,unknown,unknown,Kh 9c,4s 4c,,,
hcl_ivey_dwan_garrett_dense_198,unknown,unknown,Kh 7s,3s 3c,Jh 5c 6c Js,,LUCKY calls
hcl_ivey_dwan_garrett_dense_199,unknown,unknown,Kh 9c,3s 6d,Jh 5c 6c Js,,
hcl_ivey_dwan_garrett_dense_200,unknown,unknown,As 9c,4s 2h,Jh 5c 6c Js,,
