hand_id,review_url,start_seconds,end_seconds,top_cards,bottom_cards,board,pot
hcl_ivey_dwan_garrett_dense_135,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=20923s,20923,21133,Kh 3h,3s 6d,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_136,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=21047s,21047,21257,Kh Td,3s 6d,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_137,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=21157s,21157,21367,Kc 3h,4s 6d,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_138,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=21247s,21247,21457,Kc Qd,4s 2h,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_139,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=21344s,21344,21554,5h 7s,4s 2h,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_140,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=21445s,21445,21655,5h 5d,4s 2h,Jh 5c 6c Js 5s,
hcl_ivey_dwan_garrett_dense_143,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=21831s,21831,22041,Kc Td,8h 3c,Jh 5c Ah,
hcl_ivey_dwan_garrett_dense_144,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=21977s,21977,22187,Kc Td,4s 3c,Jh 5c 6c,
hcl_ivey_dwan_garrett_dense_146,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=22185s,22185,22395,Kc 7s,4s 2h,5c Ah 2c,
hcl_ivey_dwan_garrett_dense_148,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=22506s,22506,22716,Kh 3h,8h 3c,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_150,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=22739s,22739,22949,Kh 9c,8h 3c,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_151,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=22864s,22864,23074,Kh 9c,3s 6d,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_152,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=22980s,22980,23190,As Jc,3s 6d,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_154,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=23351s,23351,23561,As Td,3s 3c,Jh 7h Ah Jd,
hcl_ivey_dwan_garrett_dense_155,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=23504s,23504,23714,Kh Td,3s 3c,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_156,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=23699s,23699,23909,Kh 3h,4s 2h,7h 6c Js 5s,
hcl_ivey_dwan_garrett_dense_157,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=23807s,23807,24017,Kh 3h,8d 3c,Jh 5c Ah Jd 5s,
hcl_ivey_dwan_garrett_dense_158,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=23964s,23964,24174,Kh 3h,3s 3c,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_159,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=24113s,24113,24323,Kh Qc,3s 6d,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_160,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=24211s,24211,24421,Kh Qc,3s 6d,Jh 5c 2c Js,
hcl_ivey_dwan_garrett_dense_161,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=24303s,24303,24513,5h Qc,3s 6d,Jh 5c 2c Js,
hcl_ivey_dwan_garrett_dense_162,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=24395s,24395,24605,As 7s,3s 6d,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_163,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=24486s,24486,24696,Kh Td,3s 6d,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_164,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=24671s,24671,24881,Kh 3h,3s 3c,Jh 5c 2c Js,
hcl_ivey_dwan_garrett_dense_166,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=24975s,24975,25185,As 3h,4s 2h,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_167,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=25105s,25105,25315,Kc 9c,4s 2h,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_168,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=25241s,25241,25451,Kh 2d,4s 6d,Jh 5c Ah 2c,
