site,player,n_hands,m,sd,bb100,se,lo,hi
IPN,sjHjx9vI71nNcK1qLoXZdA,9267,-0.14426324573859334,2.9866400693702113,-14.426324573859334,3.1025108278444216,-20.5072457964344,-8.345403351284268
IPN,oGtEweRt/46vtwDmyrZkTA,6820,-0.1443460354881902,4.533736479641288,-14.43460354881902,5.4898956059000446,-25.19479893638311,-3.6744081612549326
FTP,XMSQLicUmPh2LnTjZVemxw,15973,-0.14437227997879182,10.68929301701383,-14.437227997879182,8.45776738204742,-31.014452066692122,2.13999607093376
IPN,C5JgYeWLayNUc8Ec6AoNtw,7897,-0.144374446082722,2.124268994850566,-14.437444608272202,2.3904432691502535,-19.1227134158067,-9.752175800737705
IPN,ptHkrJkbEIhGNhOcrw4Yfg,29259,-0.14446431018465333,2.4473795903489375,-14.446431018465333,1.4307758282407215,-17.250751641817146,-11.64211039511352
IPN,ZmkIs2YI9+tnZFf46gxErA,10345,-0.14477535129572933,3.0566865804315397,-14.477535129572933,3.0052849937500143,-20.36789371732296,-8.587176541822906
IPN,2Ji823s6BsNvwWx09w/SXQ,6846,-0.14482178854865704,7.3082443857608235,-14.482178854865705,8.832723067626018,-31.7943160674127,2.829958357681292
PS,SOYKIqwsD3Bhl8/dc206Yg,13471,-0.14503956019820866,8.571744284841234,-14.503956019820865,7.38531950324611,-28.979182246183242,-0.02872979345849025
PS,/FdwLLL8Z4SPZhRnVhtKBg,5423,-0.1451765670637385,13.215785580864818,-14.517656706373849,17.9462280256672,-49.69226363668156,20.656950223933862
FTP,zVYS2g075pwDf5oEUVlVCA,5644,-0.145353471092658,8.060975403202658,-14.5353471092658,10.729860938198586,-35.56587454813503,6.4951803296034285
PS,842+xBlti1PJM7mTMEB4mA,5331,-0.14563777694512522,9.116478111036162,-14.563777694512522,12.485983373706755,-39.036305106977764,9.908749717952718
PS,9QNkw7TLoLRpeJcy8SpLGw,6143,-0.14598838693638025,17.41870898739761,-14.598838693638024,22.22417795118203,-58.158227477954796,28.96055009067875
FTP,luH0+96kt2J0Fntfwc8UkA,5112,-0.1460159095091649,7.1590542309967065,-14.60159095091649,10.012908089479126,-34.22689080629558,5.023708904462596
IPN,WTFSba6JmqOe2A8H00LRAQ,8515,-0.14610745736030853,2.299924767224635,-14.610745736030854,2.4924204383857984,-19.49588979526702,-9.725601676794689
IPN,NjK1zkdkrgml5kE9ma073w,15692,-0.1462009311360484,3.280560372065062,-14.62009311360484,2.618839511925037,-19.753018556977914,-9.487167670231766
PTY,NPNBqQMtU6RIDZhKtwRy/A,7760,-0.1462287377935748,8.834565806083958,-14.622873779357478,10.028924212154001,-34.27956523517932,5.0338176764643645
PS,7FhRCfa0pcSeXBaKw807Ow,12002,-0.14680362491744436,8.917841097104484,-14.680362491744436,8.14015957018248,-30.635075249302098,1.274350265813224
ONG,jtN4xOCljPEmGLeAe2Y5cg,15252,-0.1468755702142878,11.69845126308901,-14.687557021428779,9.472507804912517,-33.253672319057316,3.8785582761997563
IPN,verHTzWj/jHR6EtfD7TGZQ,7345,-0.14703607926001916,1.5507581394806655,-14.703607926001915,1.809456592891803,-18.25014284806985,-11.15707300393398
IPN,1IlBoo/txQc7XZKGF0GMFw,13522,-0.1475610863596461,3.7003425912542434,-14.75610863596461,3.1821560167814553,-20.993134428856262,-8.519082843072958
IPN,t6kv23dzRwaoUaeIm9WoMQ,11483,-0.1478182965326546,1.935737891238492,-14.78182965326546,1.8064205652919763,-18.322413961237732,-11.241245345293187
PS,HJT+9Wj+wcg7TV6yKjc8DA,5047,-0.14816491700943588,8.424959815433288,-14.816491700943587,11.859085105005798,-38.06029850675495,8.427315104867777
PTY,ShnlAsJ4jCGTUJZiViIBWA,11607,-0.1482506250785931,8.39455137607212,-14.825062507859311,7.791794665159069,-30.096980051571087,0.44685503585246344
